drugbank_id,drug_name,target_id,target_name,actions,known_action,organism,gene_name,uniprot_id
DB00320,Dihydroergotamine,BE0000659,5-hydroxytryptamine receptor 1D,agonist,yes,Humans,HTR1D,P28221
DB00320,Dihydroergotamine,BE0000460,5-hydroxytryptamine receptor 1F,agonist,yes,Humans,HTR1F,P30939
DB00320,Dihydroergotamine,BE0000756,D(2) dopamine receptor,agonist,yes,Humans,DRD2,P14416
DB00320,Dihydroergotamine,BE0000289,Alpha-2A adrenergic receptor,agonist,unknown,Humans,ADRA2A,P08913
DB00320,Dihydroergotamine,BE0000291,5-hydroxytryptamine receptor 1A,agonist,unknown,Humans,HTR1A,P08908
DB00320,Dihydroergotamine,BE0000476,5-hydroxytryptamine receptor 1E,agonist,unknown,Humans,HTR1E,P28566
DB00320,Dihydroergotamine,BE0000451,5-hydroxytryptamine receptor 2A,agonist,unknown,Humans,HTR2A,P28223
DB00320,Dihydroergotamine,BE0000393,5-hydroxytryptamine receptor 2B,agonist,unknown,Humans,HTR2B,P41595
DB00320,Dihydroergotamine,BE0000533,5-hydroxytryptamine receptor 2C,agonist,unknown,Humans,HTR2C,P28335
DB00320,Dihydroergotamine,BE0004863,Alpha-1 adrenergic receptors,agonist,unknown,Humans,ADRA1A,P35348
DB00320,Dihydroergotamine,BE0004864,Alpha-2 adrenergic receptors,agonist,unknown,Humans,ADRA2A,P08913
DB00320,Dihydroergotamine,BE0000581,D(3) dopamine receptor,agonist,unknown,Humans,DRD3,P35462
DB00320,Dihydroergotamine,BE0000389,D(4) dopamine receptor,agonist,unknown,Humans,DRD4,P21917
DB00320,Dihydroergotamine,BE0000084,5-hydroxytryptamine receptor 4,agonist,unknown,Humans,HTR4,Q13639
DB00320,Dihydroergotamine,BE0001012,Beta-3 adrenergic receptor,agonist,unknown,Humans,ADRB3,P13945
DB00321,Amitriptyline,BE0000486,Sodium-dependent noradrenaline transporter,inhibitor,yes,Humans,SLC6A2,P23975
DB00321,Amitriptyline,BE0000749,Sodium-dependent serotonin transporter,inhibitor,yes,Humans,SLC6A4,P31645
DB00321,Amitriptyline,BE0000451,5-hydroxytryptamine receptor 2A,antagonist,yes,Humans,HTR2A,P28223
DB00321,Amitriptyline,BE0000291,5-hydroxytryptamine receptor 1A,"inhibitor, inducer",unknown,Humans,HTR1A,P08908
DB00321,Amitriptyline,BE0000420,Delta-type opioid receptor,agonist,unknown,Humans,OPRD1,P41143
DB00321,Amitriptyline,BE0000632,Kappa-type opioid receptor,agonist,unknown,Humans,OPRK1,P41145
