drugbank_id,drug_name,transporter_id,transporter_name,actions,organism,gene_name,uniprot_id
DB00279,Liothyronine,BE0003660,Solute carrier organic anion transporter family member 1C1,"substrate, inhibitor",Humans,SLCO1C1,Q9NYB5
DB00279,Liothyronine,BE0003656,Solute carrier organic anion transporter family member 4A1,"substrate, inhibitor",Humans,SLCO4A1,Q96BD0
DB00279,Liothyronine,BE0003645,Organic anion transporter 3,inhibitor,Humans,SLC22A8,Q8TCC7
DB00279,Liothyronine,BE0003654,Monocarboxylate transporter 10,inhibitor,Humans,SLC16A10,Q8TF71
DB00279,Liothyronine,BE0001032,ATP-dependent translocase ABCB1,inducer,Humans,ABCB1,P08183
DB00279,Liothyronine,BE0000222,Large neutral amino acids transporter small subunit 1,,Humans,SLC7A5,Q01650
DB00280,Disopyramide,BE0003648,Solute carrier family 22 member 1,inhibitor,Humans,SLC22A1,O15245
DB00280,Disopyramide,BE0003647,Solute carrier family 22 member 2,inhibitor,Humans,SLC22A2,O15244
DB00281,Lidocaine,BE0000106,Organic cation/carnitine transporter 2,inhibitor,Humans,SLC22A5,O76082
DB00281,Lidocaine,BE0001032,ATP-dependent translocase ABCB1,inhibitor,Humans,ABCB1,P08183
DB00285,Venlafaxine,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor",Humans,ABCB1,P08183
DB00285,Venlafaxine,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,inducer,Humans,ABCG2,Q9UNQ0
DB00286,Conjugated estrogens,BE0001061,ATP-binding cassette sub-family C member 3,inhibitor,Humans,ABCC3,O15438
DB00286,Conjugated estrogens,BE0001188,ATP-binding cassette sub-family C member 4,inhibitor,Humans,ABCC4,O15439
DB00286,Conjugated estrogens,BE0000785,Multidrug resistance-associated protein 1,inhibitor,Humans,ABCC1,P33527
DB00286,Conjugated estrogens,BE0003642,Solute carrier organic anion transporter family member 1A2,"substrate, inhibitor",Humans,SLCO1A2,P46721
DB00286,Conjugated estrogens,BE0003644,Hepatic sodium/bile acid cotransporter,inhibitor,Humans,SLC10A1,Q14973
DB00286,Conjugated estrogens,BE0003652,Solute carrier family 22 member 10,inhibitor,Humans,SLC22A10,Q63ZE4
DB00286,Conjugated estrogens,BE0003645,Organic anion transporter 3,"substrate, inhibitor",Humans,SLC22A8,Q8TCC7
DB00286,Conjugated estrogens,BE0003660,Solute carrier organic anion transporter family member 1C1,"substrate, inhibitor",Humans,SLCO1C1,Q9NYB5
DB00286,Conjugated estrogens,BE0001004,Solute carrier organic anion transporter family member 1B1,"substrate, inhibitor",Humans,SLCO1B1,Q9Y6L6
DB00286,Conjugated estrogens,BE0001042,Solute carrier organic anion transporter family member 2B1,substrate,Humans,SLCO2B1,O94956
DB00286,Conjugated estrogens,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00286,Conjugated estrogens,BE0001066,Solute carrier family 22 member 6,substrate,Humans,SLC22A6,Q4U2R8
DB00286,Conjugated estrogens,BE0003667,Organic solute transporter subunit alpha,substrate,Humans,SLC51A,Q86UW1
DB00286,Conjugated estrogens,BE0003668,Organic solute transporter subunit beta,substrate,Humans,SLC51B,Q86UW2
DB00286,Conjugated estrogens,BE0001069,ATP-binding cassette sub-family C member 2,substrate,Humans,ABCC2,Q92887
DB00286,Conjugated estrogens,BE0003656,Solute carrier organic anion transporter family member 4A1,substrate,Humans,SLCO4A1,Q96BD0
DB00286,Conjugated estrogens,BE0003658,ATP-binding cassette sub-family C member 11,substrate,Humans,ABCC11,Q96J66
DB00286,Conjugated estrogens,BE0003659,Solute carrier organic anion transporter family member 1B3,substrate,Humans,SLCO1B3,Q9NPD5
DB00286,Conjugated estrogens,BE0000879,Solute carrier family 22 member 11,substrate,Humans,SLC22A11,Q9NSA0
DB00286,Conjugated estrogens,BE0003661,Solute carrier organic anion transporter family member 3A1,substrate,Humans,SLCO3A1,Q9UIG8
DB00286,Conjugated estrogens,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,substrate,Humans,ABCG2,Q9UNQ0
DB00291,Chlorambucil,BE0003642,Solute carrier organic anion transporter family member 1A2,,Humans,SLCO1A2,P46721
DB00295,Morphine,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00300,Tenofovir disoproxil,BE0001066,Solute carrier family 22 member 6,substrate,Humans,SLC22A6,Q4U2R8
DB00300,Tenofovir disoproxil,BE0003645,Organic anion transporter 3,substrate,Humans,SLC22A8,Q8TCC7
DB00300,Tenofovir disoproxil,BE0003651,ATP-binding cassette sub-family C member 10,substrate,Humans,ABCC10,Q5T3U5
DB00300,Tenofovir disoproxil,BE0001188,ATP-binding cassette sub-family C member 4,substrate,Humans,ABCC4,O15439
DB00300,Tenofovir disoproxil,BE0001069,ATP-binding cassette sub-family C member 2,substrate,Humans,ABCC2,Q92887
DB00300,Tenofovir disoproxil,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor",Humans,ABCB1,P08183
DB00301,Flucloxacillin,BE0000703,Bile salt export pump,substrate,Humans,ABCB11,O95342
DB00311,Ethoxzolamide,BE0001066,Solute carrier family 22 member 6,inhibitor,Humans,SLC22A6,Q4U2R8
